Название ;Автор(ы) (Фамилия Имя Отчество);Год издания ;Цена;Отделение;Жанр(ы);Количество;Издательство;Стеллаж(и);
Статистика современного русского языка и культура речи;Г.Я. Солганик, Т.С. Дроняева;2002;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Академ-а;1;
Русский язык и культура речи;Л. А. Введенская, Л. Г. Павлова, Е. Ю. Кашаева;2005;NULL;Общеобразовательное;Общеобразовательное;1;Ростов-на-дону, Феникс;1;
Стилистика и литературное редактирование;В.И. Максимова;2004;NULL;Общеобразовательное;Общеобразовательное;2;Москва, Гардарики;1;
Русский язык и культура речи;Л.А. Введенская, М.Н.Черкасова;2016;NULL;Общеобразовательное;Общеобразовательное;3;Ростов-на-дону, Феникс;1;
Русский язык и культура речи;В.И. Максимова;2002;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Гардарики;1;
Культура речи;Л.А. Введенская;2001;NULL;Общеобразовательное;Общеобразовательное;1;Ростов-на-дону, Феникс;1;
Стилистика и литературное редактирование;Н.П. Колесников;2003;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Ростов-на-дону;1;
Русский язык сборник текстов;Т.М. Пахнова;2000;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Дрофа;1;
Сборник упражнений и текстовых заданий по культуре речи;В.Д. Черняк;2006;NULL;Общеобразовательное;Общеобразовательное;1;Санкт Петербург, Москва, Сага, Форум;1;
Риторика культура речи;М.Р. Львов;2002;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Академ-а;1;
Русский язык и культура речи;Е.В. Ганапольский, А.В. Хохлова;2005;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Санкт Петербург, Воронеж, Ниэжний Новгород, Ростов на дону, Екатеринбург, Самара, Новосибирск, Киев, Харьков, Минск;1;
Основы теории речи;М.Р. Львов;2000;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Академ-а;1;
Стилистика русского языка;И.Б. Голуб;2004;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Айрис Пресс;1;
Русский языык и культура речи;Н.А. Ипполитова, О.Ю. Князева, М.Р. Савова;2004;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Проспект;1;
Стилистика текста;М.П. Брандес;2004;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Прогресс, традиция;1;
Русский язык культура речи;Л.А. Введенская, М.Н.Черкасова;2012;NULL;Общеобразовательное;Общеобразовательное;1;Ростов-на-дону, Феникс;1;
Русский язык и культура речи;Л.А. Введенская, Л.Г. Павлова, Е.Ю. Кашева;2009;NULL;Общеобразовательное;Общеобразовательное;1;Ростов-на-дону, Феникс;1;
Упражнения по стилистике русского языка;И.Б. Голуб;2001;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Рольф;1;
Культура речи;Л.А. Введенская;2002;NULL;Общеобразовательное;Общеобразовательное;1;Фениск;1;
Русский язык и культура речи;Л.А. Введенская, Л.Г. Павлова, Е.Ю. Кашева;2005;NULL;Общеобразовательное;Общеобразовательное;1;Фениск;1;
Русский язык;Е.С. Антонова, Т.М. Воителева;2013;NULL;Общеобразовательное;Общеобразовательное;16;Академ-а;1;
Русский язык ;В.Ф. Греков, С.Е. Крючков, Л.А. Чешко;2012;NULL;Общеобразовательное;Общеобразовательное;12;Просвещение;1;
Русский язык;Т.М. Воителева;2012;NULL;Общеобразовательное;Общеобразовательное;1;Академ-а;1;
Все произведения школьной программы в кратком изложении;И.О. Родин;2006;NULL;Общеобразовательное;Общеобразовательное;1;Астрель;1;
Русский язык;Т.М. Воителева;2012;NULL;Общеобразовательное;Общеобразовательное;1;Академ-а;1;
Литературное редактирование;К.М. Накорякова;2004;NULL;Общеобразовательное;Общеобразовательное;1;Икар;1;
Русский язык и культура речи;В.Д. Черняк;2004;NULL;Общеобразовательное;Общеобразовательное;1;Высшая школа;1;
Пособие для занятий по русскому языку;В.Ф. Греков, С.Е. Крючков, Л.А. Чешко;2004;NULL;Общеобразовательное;Общеобразовательное;2;Высшая школа;1;
Конспект лекций по литературному редактированию;И.Б. Голуб;2004;NULL;Общеобразовательное;Общеобразовательное;2;Айрис Пресс;1;
Русский язык ;Н.Г. Гольцова, И.В. Шамин;2006;NULL;Общеобразовательное;Общеобразовательное;1;Москва Русское слово;1;
Русский язык;Л.А. Введенская, М.Ю. Семенова;2006;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Ростов-на-дону;1;
Правильно оформляем реферат, курсовую, диплом на компьютере;Ф.В.Круглов,А. С. Куприянова ;2008;NULL;Общеобразовательное;Общеобразовательное;1;Наука и техника;1;
Русский язык ;Г.В. Цветкова;2012;NULL;Общеобразовательное;Общеобразовательное;1;Волгоград;1;
Поурочные разработки по русскому языку;Н.В. Егорова;2013;NULL;Общеобразовательное;Общеобразовательное;1;Москва Вако;1;
Стилистика деловой речи и редактирование служебных документов;Л.В.Рохманин;2015;NULL;Общеобразовательное;Общеобразовательное;1;Москва Флинта, Наука;1;
Деловой Русский;Л.М. Федорова, С.Н. Никитаев, И.В. Баженова;2005;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Экзамен;1;
Русский язык сборник упражнений;Т.М. Воителева;2019;NULL;Общеобразовательное;Общеобразовательное;2;Москва, Академия;1;
Русский язык пособие по подготовке к ЕГЭ;Е.С. Антонова, Т.М. Воителева;2012;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Академия;1;
Литература(1);Г.А. Обернихиной;2019;NULL;Общеобразовательное;Общеобразовательное;14;Москва, Академия;1;
Литература(2);Г.А. Обернихиной;2019;NULL;Общеобразовательное;Общеобразовательное;15;Москва, Академия;1;
Литература учебное пособие для колледжей;Е.В. Амелина;2017;NULL;Общеобразовательное;Общеобразовательное;1;Фениск;1;
Литература практикум;Г.А. Обернихиной;2018;NULL;Общеобразовательное;Общеобразовательное;2;Академия;1;
Литература практикум;Г.А. Обернихиной;2012;NULL;Общеобразовательное;Общеобразовательное;2;Академия;1;
Коспекты уроков для учителя литература;В. У. Брюсов, Н. У. Гумелёв, О. К. Манедельштам, В. Е. Розанов, И. П. Северянин;2000;NULL;Общеобразовательное;Общеобразовательное;2;Владос;1;
Литература книга для преподователя;Г.А. Обернихиной, Е.В. Мацыяка;2012;NULL;Общеобразовательное;Общеобразовательное;2;Академия;1;
В мире Литературы;А.Г. Кутузов, А.К. Киселев, Е.С. Романичева, И.И. Мурзак, А.Л. Ястребов;2001;NULL;Общеобразовательное;Общеобразовательное;1;Дрофа;1;
Русская литература XX века (20) 11 класс;В.В. Агеносов, Э.Л. Безносов, А.В. Леденев;2000;NULL;Общеобразовательное;Общеобразовательное;1;Дрофа;1;
Русская литература XX века (20) 11 класс;В.В. Агеносов, Э.Л. Безносов, Н.С. Выгон, С.А. Зинин, С.А. Леонов, М.А. Нянковский, М.Г. Павловец, С.Л. Страшнов;2000;NULL;Общеобразовательное;Общеобразовательное;1;Дрофа;1;
Русская литература XX века (20) 11 класс;В.В. Агеносов;2000;NULL;Общеобразовательное;Общеобразовательное;1;Дрофа;1;
Вся русская литература (учебное пособие);И.Л. Копылов;2002;NULL;Общеобразовательное;Общеобразовательное;1;Минск, Современный литератор;1;
Русская литература XIX века (19) (две части);Ю.В. Лебедев;2004;NULL;Общеобразовательное;Общеобразовательное;2;Москва, Просфещение;1;
Лев Толстой: КРУГ ЧТЕНИЯ Главный труд в одном томе;Л. Н. Толстой,К. Н. Ярусовой;2015;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Издательство Э;1;
Русская литература XIX Века ;Ю.В. Лебедев;2002;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Просвещение;1;
Русская литература XX Века ;В.П. Журавлев;2002;NULL;Общеобразовательное;Общеобразовательное;2;Москва, Просвещение;1;
Русская литература XIX века Хрестоматия художественный произведений;В.П. Журавлев;2002;NULL;Общеобразовательное;Общеобразовательное;2;Москва, Просвещение;1;
Русская литература XX века;В.П. Журавлев;2002;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Просвещение;1;
Русская литература XIX века;Ю.В. Лебедев;2002;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Просвещение;1;
Русская литература  XIX века;В.П. Журавлев;2001;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Просвещение;1;
Биологоия Общние закономерности ;С.Г. Мамонтов, В.Б. Захаров, Н.И. Сонин;2002;NULL;Общеобразовательное;Общеобразовательное;5; Дрофа;1;
Биология Введение в общую биологию и экологию;А.А. Каменский ;2013;NULL;Общеобразовательное;Общеобразовательное;2;Дрофа;1;
Биология Введение в общую биологию и экологию;А.А. Каменский, Е.А. Криксунов, В.В. Пасечник;2004;NULL;Общеобразовательное;Общеобразовательное;1;Дрофа;1;
Биология зверей и птиц;Н.А. Харченко, Ю.П. Лихацкий, Н.Н. Харченко;2003;NULL;Общеобразовательное;Общеобразовательное;1;Академ'a;1;
Биология ЗДРАВООХРАНЕНИЕ;Н.В. Чербышев;2011;NULL;Общеобразовательное;Общеобразовательное;2;Академия;1;
Общая биология ОБЩЕОБРАЗОВАТЕЛЬНЫЕ ДИСЦИПЛИНЫ;В.М. Константинов, А.Г. Резанов, Е.О. Фадеева;2010;NULL;Общеобразовательное;Общеобразовательное;2;Академия;1;
Биология для колледжей;Р.Г. Заяц, В.Э. Бутвиловский;2017;NULL;Общеобразовательное;Общеобразовательное;5;Фениск;1;
Химия;Ю.М. Брохин;2007;NULL;Общеобразовательное;Общеобразовательное;10;Академия;1;
Практикум по общей, неорганической и органической химии;О.С. Габриелян, И.Г. Остроумов, Н.М. Дорофеева;2011;NULL;Общеобразовательное;Общеобразовательное;2;Академия;1;
Сборник задач и упражнений по химии;Ю.М. Ерохин, В.И. Фролов;2005;NULL;Общеобразовательное;Общеобразовательное;1;Академия;1;
Химия задачи и упражнения;Ю.М. Ерохин, В.И. Фролов;2019;NULL;Общеобразовательное;Общеобразовательное;1;Академия;1;
Химия в тестах, задачах и упражнениях;О.С. Габриелян, Г.Г. Лысова;2014;NULL;Общеобразовательное;Общеобразовательное;5;Академия;1;
Химия ;Г.Е. Рудзитис, Ф.Г. Фельдман;2000;NULL;Общеобразовательное;Общеобразовательное;1;Просвещение;1;
Неорганическая химия для высшей школы;И.А. Дибров;2001;NULL;Общеобразовательное;Общеобразовательное;1;Лань;1;
Общая химия;И.Г. Хомченко;2005;NULL;Общеобразовательное;Общеобразовательное;1;Новая волна;1;
Сборник тестовых заданий по химии; Ю.М. Ерохин;2019;NULL;Общеобразовательное;Общеобразовательное;2;Академия;1;
Химия задачи и упражнения;Ю.М. Ерохин;2019;NULL;Общеобразовательное;Общеобразовательное;1;Академия;1;
Химия;Ю.М. Ерохин;2003;NULL;Общеобразовательное;Общеобразовательное;8;Академия;1;
Фармацевтическая химия ;Н.Н. Глущенко, Т.В. Плетенева, В.А. Попков;2004;NULL;Общеобразовательное;Общеобразовательное;1;Академия;1;
Аналитическая химия;Ю.М. Глубоков, В.А. Головачева, Ю.А. Ефимова, А.А. Ищенко;2004;NULL;Общеобразовательное;Общеобразовательное;1;Академия;1;
Обществознание;А.И. Кравченко, Е.А. Певцова;2006;NULL;Общеобразовательное;Общеобразовательное;19;Русском слово;1;
Обществознание;В.В. Касьянов;2002;NULL;Общеобразовательное;Общеобразовательное;2;Феникс;1;
Обществознание;В.И. Курбатов;2002;NULL;Общеобразовательное;Общеобразовательное;1;Феникс;1;
Обществознание;С.Н. Оскорбина;2001;NULL;Общеобразовательное;Общеобразовательное;1;Феникс;1;
Обществознание Учебное пособие для колледжей;В.В. Касьянов;2017;NULL;Общеобразовательное;Общеобразовательное;3;Феникс;1;
Обществознание Учебное пособие для ССУЗОВ;В.В. Касьянов;2017;NULL;Общеобразовательное;Общеобразовательное;1;Феникс;1;
Обществознание;А.И. Кравченко;2000;NULL;Общеобразовательное;Общеобразовательное;2;Академия;1;
Обществознание для профессий и специальностей социально-экономического профиля;А.А. Горелов, Т.А. Горелова;2018;NULL;Общеобразовательное;Общеобразовательное;2;Академия;1;
Обществознание для профессий и специальностей социально-экономического профиля;Т.А. Горелова, А.А. Горелов;2019;NULL;Общеобразовательное;Общеобразовательное;15;Академия;1;
История;В.В. Артемов, Ю.Н. Лубченков;2019;NULL;Общеобразовательное;Общеобразовательное;15;Академия;1;
История России;А.А. Левандовский;2006;NULL;Общеобразовательное;Общеобразовательное;1;Просвещение;1;
История Отечества (справочник);Л.А. Кацва;2005;NULL;Общеобразовательное;Общеобразовательное;1;АСТ-ПРЕСС ШКОЛА;1;
История мировых цивилизаций;В.М. Хачатурян;2002;NULL;Общеобразовательное;Общеобразовательное;2;Дрофа;1;
Пособие по истории Отечества для поступающих в ВУЗы;А.С.Орлов ,А.Ю. Полунов , Т.Л. Шестова, Ю.А. Щетинов;2000;NULL;Общеобразовательное;Общеобразовательное;1;Простор;1;
История России XIX - начала XX вв.;В.А. Федоров;2000;NULL;Общеобразовательное;Общеобразовательное;1;Зерцало;1;
Всемирная история с древнейших времен до конца XIX века;Н.В. Загладин;2005;NULL;Общеобразовательное;Общеобразовательное;1;Русском слово;1;
География стран Азиатско-Тихоокеанского региона;П.Я. Бакланов, А.А. Белоусов;2008;NULL;Общеобразовательное;Общеобразовательное;1;Издательство Дальневосточного университета;1;
Страны и регионы Мир в цифрах;М. С. Гуриев;2007;NULL;Общеобразовательное;Общеобразовательное;1;Издательство Весь мир;1;
Картография ;А.М. Берлянт;2001;NULL;Общеобразовательное;Общеобразовательное;2;Аспект ПРЕСС;1;
География Современный мир;Н.Н. Петрова;2007;NULL;Общеобразовательное;Общеобразовательное;3;ФОРУМ - ИНТРА-М;1;
География;В.П. Максаковский;2007;NULL;Общеобразовательное;Общеобразовательное;1;Просвещение;1;
Алгебра и начала математического анализа;Ш.А. Алимов, Ю.М. Колягин, М.В. Ткачева, Н.Е. Федорова, М.И. Шабунин;2020;NULL;Общеобразовательное;Общеобразовательное;27;Просвещение;2;
Основы экологии;Н.М. Чернова;2006;NULL;Общеобразовательное;Общеобразовательное;17;Дрофа;2;
Геометрия 10-11;Л.С. Атанесян, В.Ф. Бутузов, С.Б. Кадомцев, Л.С. Киселева, Э.Г. Поздняк;2003;NULL;Общеобразовательное;Общеобразовательное;13;Просвещение;2;
Безопасность производственной деятельности;А.А. Раздорожный;2003;NULL;Общеобразовательное;Общеобразовательное;1;Инфра-м;2;
Основый безопасности жизнедеятельности;С.К. Шойгу, Ю.Л. Воробьёва, М.И. Фалеева;2003;NULL;Общеобразовательное;Общеобразовательное;1;Москва;2;
Безопасность жизнедеятельности топ 50;Н.В. Косолапова, Н.А. Прокопенко, Е.Л. Побежимова;2018;NULL;Общеобразовательное;Общеобразовательное;1;Академия;2;
Основый безопасности жизнедеятельности;Г.В. Пачурин, А.Б. Елькин, В.И. Миндрин, А.А. Филиппов;2016;NULL;Общеобразовательное;Общеобразовательное;1;Феникс;2;
Безопасность жизнедеятельности и медицина катостроф;Г.С. Ястребов;2014;NULL;Общеобразовательное;Общеобразовательное;1;Феникс;2;
Безопасность и защита населения в черезвычайных ситуациях;Г.Н. Кириллова;2005;NULL;Общеобразовательное;Общеобразовательное;1;НЦ ЭНАС;2;
Физика задачник;А.П. Рымкевич;2006;NULL;Общеобразовательное;Общеобразовательное;16;Дрофа;2;
Современный терроризм и оценка диверсионно-террористической уязвимости гражданских объектов;И.Д. Моторный;2004;NULL;Общеобразовательное;Общеобразовательное;1;Москва;2;
Безопасность труда в строительстве;М.В. Литвинова;2003;NULL;Общеобразовательное;Общеобразовательное;1;Инфра-м;2;
Безопасность жизнедеятельности ;Г.В. Осетров;2011;NULL;Общеобразовательное;Общеобразовательное;1;Книжный мир Москва;2;
Первая медицинская помощь;А.Н. Иванов;2004;NULL;Общеобразовательное;Общеобразовательное;1;Армпресс;2;
Безопасность жизнедеятельности;С.В. Белов, В.А. Девисилов, А.Ф. Козьянов;2002;NULL;Общеобразовательное;Общеобразовательное;1;Высшая школа;2;
Безопасность жизнедеятельности ;О. М. Русак,М. К. Малаян, Н. М. Занько;2004;NULL;Общеобразовательное;Общеобразовательное;1;Санкт Петербург, Москва;2;
Строительная экология;Н.П. Сугробов, В.В. Фролов;2004;NULL;Общеобразовательное;Общеобразовательное;1;Академа;2;
Основы природопользования;А.Г.Емельянов;2004;NULL;Общеобразовательное;Общеобразовательное;1;Академа;2;
Экология и охрана биосферы при химическом загрязнении;Д.С. Орлов, Л.К. Садовникова, И.Н. Лозановская;2002;NULL;Общеобразовательное;Общеобразовательное;1;Высшая школа;2;
Строительная экология;Л.В. Передельский, О.Е. Приходченко;2003;NULL;Общеобразовательное;Общеобразовательное;1;Феникс;2;
Экологические основы природопользования;М.В. Гальперин;2002;NULL;Общеобразовательное;Общеобразовательное;1;ФОРУМ - ИНТРА-М;2;
Защита населения и территорий в черезвычайных ситуациях;В.М. Емельянов, В.Н. Коханов;2004;NULL;Общеобразовательное;Общеобразовательное;1;Трикста;2;
Экология  ;А.А. Горелов, Т.А. Горелова;2002;NULL;Общеобразовательное;Общеобразовательное;1;Юрайт;2;
Прикладная экология;Т.А. Трифонова, Н.В. Селиванова, Н.В. Мищенко;2005;NULL;Общеобразовательное;Общеобразовательное;1;Академичский проект;2;
Концепции современного естествознания;С.Х. Карапенков;2004;NULL;Общеобразовательное;Общеобразовательное;1;Академический проект;2;
Промышленно транспортная экология;В.Н. Луканин, Ю.В. Трофименко;2001;NULL;Общеобразовательное;Общеобразовательное;1;Высшая школа;2;
Гигиена и основы экологии человека;Ю.П. Пивоваров, В.В. Королик, Л.С. Зиневич;2002;NULL;Общеобразовательное;Общеобразовательное;1;Феникс;2;
Основый безопасности жизнедеятельности;Ю.Л. Воробьёва;2004;NULL;Общеобразовательное;Общеобразовательное;1;Астель;2;
Безопасность жизнедеятельности ;П.Э. Шлендер, В.М. Маслова, С.И. Подгарецкий;2006;NULL;Общеобразовательное;Общеобразовательное;1;Москва;2;
Практикум по безопасности жизнедеятельности человека, экологии и охране труда;П.П. Васильев;2004;NULL;Общеобразовательное;Общеобразовательное;1;Москва;2;
Задачи по математике с решениями;Н.В. Богомолов;2006;NULL;Общеобразовательное;Общеобразовательное;1;Высшая школа;2;
Охрана труда практика управления и организации;Л.П. Шариков;2005;NULL;Общеобразовательное;Общеобразовательное;1;МЦФЭР;2;
Безопасность жизнедеятельности производственная безопансность и охрана ;П.П. Кукин, В.Л.Лапин;2001;NULL;Общеобразовательное;Общеобразовательное;1;Высшая школа;2;
Безопасность жизнедеятельности ;С.В. Белова;2000;NULL;Общеобразовательное;Общеобразовательное;1;Высшая школа;2;
Безопасность жизнедеятельности ;Э.А. Арустамов;2001;NULL;Общеобразовательное;Общеобразовательное;1;Москва;2;
Безопасность жизнедеятельности ;Э.А. Арустамов, В.А. Воронин, А.Д. Зенченко, С.А. Смирнов;2006;NULL;Общеобразовательное;Общеобразовательное;1;Москва;2;
Безопасность жизнедеятельности ;Ю.Г. Сапронов, А.Б. Сыса, В.В. Шахбазян;2009;NULL;Общеобразовательное;Общеобразовательное;1;Академия;2;
Физика для колледжей ;И.Л. Касаткина ;2017;NULL;Общеобразовательное;Общеобразовательное;2;Феникс;2;
Астрономия 11 класс базовый уровень ;Б.А. Воронцов-Вельяминов, Е.К. Страут;2019;NULL;Общеобразовательное;Общеобразовательное;4;Дрофа;2;
Физика 11 класс;С.В. Громов;2005;NULL;Общеобразовательное;Общеобразовательное;1;Просвещение;2;
Физика 10 ;Г.Я. Мякишев, Б.Б. Буховцев, Н.Н. Сотский;2001;NULL;Общеобразовательное;Общеобразовательное;1;Просвещение;2;
Физика для профессий и специальностей технического профиля;В.Ф. Дмитриева, А.В. Коржуев, О.В. Муртазина;2019;NULL;Общеобразовательное;Общеобразовательное;1;Академия;2;
Физика для профессий и специальностей технического профиля;В.Ф. Дмитриева;2019;NULL;Общеобразовательное;Общеобразовательное;2;Академия;2;
Физика для профессий и специальностей технического профиля;В.Ф. Дмитриева;2020;NULL;Общеобразовательное;Общеобразовательное;2;Академия;2;
Астрономия Солнечная система ;С.А. Язев, В.Г. Сурдина;2019;NULL;Общеобразовательное;Общеобразовательное;4;Юрайт;2;
Физиология человека;Н.А. Агаджанян, В.И. Циркин;2001;NULL;Общеобразовательное;Общеобразовательное;1;НГМА;2;
Общеобразовательное;Г.А. Макарова;2002;NULL;Общеобразовательное;Общеобразовательное;1;Советский спорт;2;
Общеобразовательное;М.Я. Виленский;2018;NULL;Общеобразовательное;Общеобразовательное;1;КноРус;2;
Общеобразовательное;А.А. Бишаева;2020;NULL;Общеобразовательное;Общеобразовательное;1;Академия;2;
Общеобразовательное студента;В.И. Ильина;2001;NULL;Общеобразовательное;Общеобразовательное;2;Гардарики;2;
Физическая култура ;Ю.И. Ивсеев;2002;NULL;Общеобразовательное;Общеобразовательное;1;Феникс;2;
Физическая реабилитация;С.Н. Попова;2004;NULL;Общеобразовательное;Общеобразовательное;1;Феникс;2;
Теоретические и методические основы физического воспитания;Г.Е. Васькина;2008;NULL;Общеобразовательное;Общеобразовательное;1;МГУ Невельского;2;
Теория и методика физической культуры ;Л.П. Матвеев;2003;NULL;Общеобразовательное;Общеобразовательное;1;Лань;2;
Физиология и анатомия;Э.В. Семенов;2000;NULL;Общеобразовательное;Общеобразовательное;1;Семёнов;2;
Теория и методика физического воспитания и спорта;Ж.К. Холодов, В.С. Кузнецов;2006;NULL;Общеобразовательное;Общеобразовательное;1;Академия;2;
Здоровье и Общеобразовательное студента;В.А. Бароненко, Л.А. Рапопорт;2006;NULL;Общеобразовательное;Общеобразовательное;1;Альфа-м, Инра-м;2;
Общеобразовательное студента;Н.В. Решетников, Ю.Л. Кислицын;2007;NULL;Общеобразовательное;Общеобразовательное;1;Академия;2;
Размерная типология населения с основами анатомии и морфологии;Е.Б. Кобляковой;2001;NULL;Общеобразовательное;Общеобразовательное;1;Академия;2;
Герой нашего времени Герой нашего времени;М.Ю. Лермонтов;2002;NULL;Общеобразовательное;Роман  ;8;Дрофа;3;
Школьная программа, Герой нашего времени;М.Ю. Лермонтов;2002;NULL;Общеобразовательное;Роман;15;Дрофа;3;
Школьная программа, Евгений Онегин;А.С. Пушкин;2002;NULL;Общеобразовательное;Роман в стихах;12;Дрофа;3;
Курс высшей математики для вузов;В.С. Шипачев;2009;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Оникс;3;
Теория вероятностей и математическая статистика;В.Е. Гмурман;2004;NULL;Общеобразовательное;Общеобразовательное;1;Высшая школа;3;
Основы государства и права;С.А. Комарова;2022;NULL;Общеобразовательное;Общеобразовательное;1;Юрайт;3;
Основы российского права;Т.В. Кашанина, А.В. Кашанин;2003;NULL;Общеобразовательное;Общеобразовательное;1;Москва, НОРМА;3;
Основый правовых знаний;В.И. Шкатулла, В.В. Надикова, М.В. Сытинская;2001;NULL;Общеобразовательное;Общеобразовательное;1;Академия;3;
Популярный юридический энциклапедический словарь;М.И. Ткач;2008;NULL;Общеобразовательное;Общеобразовательное;1;Феникс;3;
Социальный гарантии и льготы;О.Г. Кондрашова;2005;NULL;Общеобразовательное;Общеобразовательное;1;Москва;3;
Гражданский кодекс РФ;М. С. Гуриев;2005;NULL;Общеобразовательное;Общеобразовательное;1;Эксмо;3;
Гражданский кодекс РФ;М. С. Гуриев;2006;NULL;Общеобразовательное;Общеобразовательное;1;Эксмо;3;
Мунициальное право России;Н.В. Постовой;2002;NULL;Общеобразовательное;Общеобразовательное;1;Юриспуденция;3;
Система государственного и муниципального упарвления ;Т.В. Грицюк;2004;NULL;Общеобразовательное;Общеобразовательное;1;Москва;3;
Местное самоуправление в России;А.А. Уваров;2005;NULL;Общеобразовательное;Общеобразовательное;1;Москва, НОРМА;3;
Гражданский кодекс РФ Часть 1;М.В. Кузнецов;2001;NULL;Общеобразовательное;Общеобразовательное;1;Права и закон;3;
Гражданский кодекс РФ Часть 2;М.В. Кузнецов;2001;NULL;Общеобразовательное;Общеобразовательное;1;Права и закон;3;
Гражданский кодекс РФ Части 1, 2, 3 ;Е. К. Строганова;2002;NULL;Общеобразовательное;Общеобразовательное;1;Питер;3;
Гражданское право;Е.В. Протас;2005;NULL;Общеобразовательное;Общеобразовательное;1;МГИУ;3;
Право социального обеспечения;В.П. Галаганов;2004;NULL;Общеобразовательное;Общеобразовательное;1;Академия;3;
Гражданский кодекс РФ;М. С. Гуриев;2004;NULL;Общеобразовательное;Общеобразовательное;1;Сибирское университетское издательство;3;
Универсальный правовой справочник для населения;Л.Ю. Грудцына;2006;NULL;Общеобразовательное;Общеобразовательное;1;Эксмо;3;
Гражданский процесс;В.И. Казанцев, С.Я. Казанцев;2003;NULL;Общеобразовательное;Общеобразовательное;1;Академия;3;
Комментарий к кодексу РФ об административных правонарушениях;Ю.М. Козлова;2002;NULL;Общеобразовательное;Общеобразовательное;1;ЮристЪ;3;
Основы права;М.Б. Смоленский, Е.В. Демьяненко;2018;NULL;Общеобразовательное;Общеобразовательное;1;Феникс;3;
Защита прав человека;О.О. Миронов;2001;NULL;Общеобразовательное;Общеобразовательное;1;Юридическая литература;3;
Кодекс РФ об административном нарушении;М. С. Гуриев;2002;NULL;Общеобразовательное;Общеобразовательное;1;Феникс;3;
Основы права;З.Г. Крыловой;2002;NULL;Общеобразовательное;Общеобразовательное;1;Высшая школа;3;
Уголовное право РФ;Н.Г. Иванов;2000;NULL;Общеобразовательное;Общеобразовательное;1;Академия;3;
Гражданское право;А.И. Гомола;2003;NULL;Общеобразовательное;Общеобразовательное;2;Академия;3;
Комментарий к кодексу РФ об административных правонарушениях;Ю.П. Орловский;2005;NULL;Общеобразовательное;Общеобразовательное;1;Москва;3;